Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %,HPR,HL %,Mkt Cap ($B)
2016-11-25,201.88,202.3,201.8,202.26,37872300,0.0,0,0.19,0.37,0.25,182.56
2016-11-28,201.93,202.23,201.2,201.31,76572500,0.0,0,-0.31,-0.47,0.51,181.71
2016-11-29,201.35,202.19,201.03,201.71,69886700,0.0,0,0.18,0.2,0.58,182.06
2016-11-30,202.36,202.54,201.16,201.22,113291800,0.0,0,-0.56,-0.24,0.69,181.62
2016-12-01,201.54,201.54,200.1,200.48,79040500,0.0,0,-0.53,-0.37,0.72,180.96
2016-12-02,200.57,201.1,200.2,200.58,74840300,0.0,0,0.0,0.05,0.45,181.05
2016-12-05,201.47,202.15,201.26,201.79,67837800,0.0,0,0.16,0.6,0.44,182.13
2016-12-06,201.99,202.46,201.48,202.43,59877400,0.0,0,0.22,0.32,0.49,182.71
2016-12-07,202.26,205.14,202.14,205.08,110738100,0.0,0,1.39,1.31,1.49,185.1
2016-12-08,205.05,206.08,204.76,205.58,99714400,0.0,0,0.26,0.24,0.64,185.55
2016-12-09,205.81,206.84,205.78,206.82,88005800,0.0,0,0.49,0.6,0.51,186.67
2016-12-12,206.72,207.23,206.13,206.58,102016100,0.0,0,-0.07,-0.11,0.53,186.46
2016-12-13,207.28,208.49,207.27,207.96,110477500,0.0,0,0.33,0.67,0.59,187.71
2016-12-14,207.64,208.39,205.78,206.24,142501800,0.0,0,-0.67,-0.83,1.27,186.16
2016-12-15,206.5,208.01,206.25,207.09,124972600,0.0,0,0.29,0.41,0.85,186.92
2016-12-16,207.58,207.64,206.35,206.69,156420200,1.33,0,-0.43,0.45,0.63,186.56
2016-12-19,206.88,207.59,206.72,207.14,90341100,0.0,0,0.12,0.22,0.42,186.96
2016-12-20,207.71,208.09,207.46,207.94,89838800,0.0,0,0.11,0.39,0.31,187.68
2016-12-21,207.8,207.98,207.36,207.36,67909000,0.0,0,-0.21,-0.28,0.3,187.16
2016-12-22,207.2,207.33,206.58,207.0,56219100,0.0,0,-0.1,-0.17,0.36,186.84
2016-12-23,207.05,207.31,206.84,207.3,36697800,0.0,0,0.12,0.15,0.23,187.11
2016-12-27,207.59,208.24,207.57,207.82,42672500,0.0,0,0.11,0.25,0.32,187.58
2016-12-28,208.09,208.11,205.98,206.1,64095000,0.0,0,-0.96,-0.83,1.03,186.03
2016-12-29,206.17,206.55,205.59,206.05,48696100,0.0,0,-0.06,-0.02,0.47,185.98
2016-12-30,206.4,206.5,204.57,205.3,108998300,0.0,0,-0.53,-0.37,0.94,185.3
2017-01-03,206.69,207.41,205.62,206.87,91366500,0.0,0,0.09,0.77,0.87,186.72
2017-01-04,207.22,208.26,207.21,208.1,78744400,0.0,0,0.43,0.59,0.51,187.83
2017-01-05,207.82,208.1,207.09,207.94,78379000,0.0,0,0.06,-0.08,0.49,187.68
2017-01-06,208.06,209.18,207.48,208.68,71559900,0.0,0,0.3,0.36,0.82,188.36
2017-01-09,208.41,208.55,207.96,207.99,46939700,0.0,0,-0.2,-0.33,0.29,187.73
2017-01-10,208.01,208.9,207.58,207.99,63771900,0.0,0,-0.01,0.0,0.64,187.73
2017-01-11,207.9,208.58,207.19,208.58,74650000,0.0,0,0.33,0.28,0.67,188.26
2017-01-12,208.03,208.26,206.61,208.06,72113200,0.0,0,0.01,-0.25,0.8,187.79
2017-01-13,208.24,208.86,208.2,208.53,62717900,0.0,0,0.14,0.23,0.31,188.22
2017-01-17,207.85,208.29,207.39,207.8,61240800,0.0,0,-0.03,-0.35,0.43,187.56
2017-01-18,208.07,208.3,207.48,208.26,54793300,0.0,0,0.09,0.22,0.4,187.97
