,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA
,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Change %,Change %,Change %,Change %,HPR,HPR,HPR,HPR,HL %,HL %,HL %,HL %,Mkt Cap ($B),Mkt Cap ($B),Mkt Cap ($B),Mkt Cap ($B)
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-25,26.31,780.37,761.68,39.33,27.95,780.37,761.68,39.33,0.0,0.0,0.0,0.0,27.97,786.75,765.0,39.45,27.74,777.9,760.52,38.73,27.78,786.5,764.26,38.73,0.0,0.0,0.0,0.0,45903600,1837100,587400,11830500,0.59,-0.78,-0.34,1.55,-27.65,2692.27,-2.4,-94.84,0.83,1.14,0.59,1.86,458.52,395.76,242.01,39.5
2016-11-28,26.25,766.77,768.24,39.22,27.89,766.77,768.24,39.22,0.0,0.0,0.0,0.0,28.12,777.0,779.53,39.87,27.85,764.24,759.8,38.91,27.86,776.99,760.0,39.1,0.0,0.0,0.0,0.0,108776000,4438800,2188200,22646000,0.13,-1.32,1.08,0.33,-29.08,2649.02,0.19,-94.89,0.97,1.67,2.6,2.47,457.62,388.87,244.1,39.39
2016-11-29,26.23,762.52,770.84,37.91,27.86,762.52,770.84,37.91,0.0,0.0,0.0,0.0,28.01,769.89,778.5,39.35,27.52,761.32,768.24,37.9,27.69,768.0,771.53,39.11,0.0,0.0,0.0,0.0,114115200,3272300,1616600,22196500,0.61,-0.71,-0.09,-3.06,-28.96,2636.48,1.09,-95.08,1.78,1.13,1.34,3.82,457.16,386.71,244.93,38.08
2016-11-30,26.01,750.57,758.04,37.88,27.63,750.57,758.04,37.88,0.0,0.0,0.0,0.0,28.05,768.09,772.99,38.38,27.57,750.25,754.83,37.5,27.9,762.0,770.07,38.2,0.0,0.0,0.0,0.0,144649200,4625900,2392900,17735500,-0.97,-1.5,-1.56,-0.84,-27.12,2616.5,1.0,-95.0,1.75,2.38,2.41,2.34,453.31,380.65,240.86,38.04
2016-12-01,25.77,743.65,747.92,36.38,27.37,743.65,747.92,36.38,0.0,0.0,0.0,0.0,27.74,753.37,759.85,37.71,27.26,738.03,737.03,36.2,27.59,752.41,757.44,37.65,0.0,0.0,0.0,0.0,148347600,4666000,3017900,25632000,-0.8,-1.16,-1.26,-3.38,-27.74,2616.78,0.57,-95.14,1.75,2.08,3.1,4.16,449.08,377.14,237.64,36.53
2016-12-02,25.86,740.34,750.5,36.29,27.48,740.34,750.5,36.29,0.0,0.0,0.0,0.0,27.52,748.49,754.0,36.98,27.21,736.7,743.1,36.0,27.29,743.4,744.59,36.58,0.0,0.0,0.0,0.0,106112000,3561300,1452500,20211500,0.67,-0.41,0.79,-0.77,-24.47,2594.6,1.37,-95.16,1.14,1.6,1.47,2.71,450.77,375.46,238.46,36.45
2016-12-05,25.68,759.36,762.52,37.36,27.28,759.36,762.52,37.36,0.0,0.0,0.0,0.0,27.51,761.49,763.9,37.78,27.06,742.0,752.9,36.5,27.5,745.0,757.71,36.5,0.0,0.0,0.0,0.0,137298000,4314700,1394200,20361000,-0.81,1.93,0.63,2.35,-24.84,2683.83,0.42,-95.1,1.64,2.63,1.46,3.5,447.53,385.11,242.28,37.52
2016-12-06,25.87,764.72,759.11,37.17,27.49,764.72,759.11,37.17,0.0,0.0,0.0,0.0,27.59,768.24,768.83,37.32,27.3,757.25,757.34,36.54,27.38,763.99,764.73,37.1,0.0,0.0,0.0,0.0,104782000,3794700,1690700,16958000,0.41,0.1,-0.73,0.18,-26.43,2682.06,-0.73,-95.1,1.07,1.45,1.52,2.13,450.97,387.83,241.2,37.33
2016-12-07,26.13,770.42,771.19,38.63,27.76,770.42,771.19,38.63,0.0,0.0,0.0,0.0,27.8,770.42,771.36,38.68,27.29,755.82,755.8,37.0,27.32,764.55,761.0,37.23,0.0,0.0,0.0,0.0,119994800,3684900,1761000,27309500,1.62,0.77,1.34,3.76,-25.32,2675.54,0.1,-94.99,1.86,1.93,2.06,4.54,455.4,390.72,245.04,38.79
2016-12-08,26.38,767.33,776.42,38.46,28.03,767.33,776.42,38.46,0.0,0.0,0.0,0.0,28.11,773.79,778.18,38.5,27.65,765.19,767.23,37.91,27.72,771.87,772.48,38.41,0.0,0.0,0.0,0.0,108273200,3189600,1488100,15970500,1.14,-0.59,0.51,0.12,-27.44,2637.53,1.18,-95.05,1.65,1.12,1.43,1.56,459.87,389.15,246.7,38.62
2016-12-09,26.81,768.66,789.29,38.44,28.49,768.66,789.29,38.44,0.0,0.0,0.0,0.0,28.67,770.25,789.43,38.77,28.08,765.34,779.02,38.16,28.08,770.0,780.0,38.17,0.0,0.0,0.0,0.0,137610400,2470900,1821900,13612500,1.46,-0.17,1.19,0.69,-25.93,2598.24,2.68,-95.13,2.13,0.64,1.34,1.59,467.38,389.82,250.79,38.6
2016-12-12,26.66,760.12,789.27,38.49,28.33,760.12,789.27,38.49,0.0,0.0,0.0,0.0,28.75,766.89,791.25,38.88,28.12,757.2,784.35,38.24,28.32,766.4,785.04,38.56,0.0,0.0,0.0,0.0,105497600,2963900,2104100,12194500,0.01,-0.82,0.54,-0.19,-26.31,2583.57,3.83,-95.12,2.23,1.28,0.88,1.69,464.71,385.49,250.78,38.65
2016-12-13,27.11,774.34,796.1,39.63,28.8,774.34,796.1,39.63,0.0,0.0,0.0,0.0,28.98,782.46,804.38,40.26,28.44,762.0,793.34,38.6,28.46,764.96,793.9,38.64,0.0,0.0,0.0,0.0,174935200,5285300,2145200,34119500,1.19,1.23,0.28,2.57,-25.17,2588.91,2.81,-95.02,1.91,2.69,1.39,4.29,472.46,392.7,252.95,39.8
2016-12-14,27.11,768.82,797.07,39.74,28.8,768.82,797.07,39.74,0.0,0.0,0.0,0.0,29.05,780.86,804.0,40.6,28.75,762.81,794.01,39.35,28.76,778.25,797.4,39.75,0.0,0.0,0.0,0.0,136127200,5454800,1704200,20754500,0.13,-1.21,-0.04,-0.03,-27.33,2569.75,3.67,-95.01,1.06,2.37,1.26,3.17,472.46,389.91,253.26,39.91
2016-12-15,27.25,761.0,797.85,39.52,28.95,761.0,797.85,39.52,0.0,0.0,0.0,0.0,29.18,769.1,803.0,40.15,28.81,760.31,792.92,39.48,28.84,766.28,797.34,39.68,0.0,0.0,0.0,0.0,186098000,3801900,1626500,16098000,0.38,-0.69,0.06,-0.42,-27.14,2528.22,4.84,-95.05,1.3,1.16,1.27,1.7,475.05,385.94,253.51,39.68
2016-12-16,27.29,757.77,790.8,40.5,28.99,757.77,790.8,40.5,0.0,0.0,0.0,0.0,29.12,765.13,800.86,40.52,28.91,754.0,790.29,39.52,29.12,765.0,800.4,39.62,0.0,0.0,0.0,0.0,177404400,4848200,2443800,18984500,-0.43,-0.95,-1.2,2.23,-26.63,2513.68,4.36,-94.88,0.73,1.48,1.34,2.53,475.66,384.3,251.27,40.67
2016-12-19,27.45,766.0,794.2,40.55,29.16,766.0,794.2,40.55,0.0,0.0,0.0,0.0,29.34,770.5,797.66,40.89,28.94,756.16,786.27,39.97,28.95,758.89,790.22,40.5,0.0,0.0,0.0,0.0,111117600,3113200,1232100,17440500,0.73,0.94,0.5,0.12,-28.0,2526.89,3.68,-94.89,1.41,1.9,1.45,2.31,478.41,388.48,252.35,40.72
2016-12-20,27.52,771.22,796.42,41.76,29.24,771.22,796.42,41.76,0.0,0.0,0.0,0.0,29.38,774.39,798.65,41.8,29.17,767.71,793.27,40.5,29.18,768.65,796.76,40.61,0.0,0.0,0.0,0.0,85700000,2703600,951000,23445500,0.18,0.33,-0.04,2.83,-27.89,2537.78,3.27,-94.76,0.7,0.87,0.68,3.21,479.68,391.12,253.05,41.94
2016-12-21,27.55,770.6,794.56,41.54,29.26,770.6,794.56,41.54,0.0,0.0,0.0,0.0,29.35,771.22,796.68,42.45,29.19,765.7,787.1,41.48,29.2,770.0,795.84,41.69,0.0,0.0,0.0,0.0,95132800,2044600,1211300,26038000,0.22,0.08,-0.16,-0.36,-29.92,2533.18,3.11,-94.77,0.53,0.72,1.22,2.32,480.13,390.81,252.46,41.72
2016-12-22,27.37,766.34,791.26,41.69,29.07,766.34,791.26,41.69,0.0,0.0,0.0,0.0,29.13,771.21,793.32,42.0,28.91,763.02,788.58,41.3,29.09,768.12,792.36,41.64,0.0,0.0,0.0,0.0,104343600,2543600,972200,15555500,-0.05,-0.23,-0.14,0.11,-30.01,2535.96,3.25,-94.73,0.75,1.07,0.6,1.69,476.98,388.65,251.41,41.87
2016-12-23,27.42,760.59,789.91,42.67,29.13,760.59,789.91,42.67,0.0,0.0,0.0,0.0,29.13,766.5,792.74,42.69,28.9,757.99,787.28,41.54,28.9,764.55,790.9,41.6,0.0,0.0,0.0,0.0,56998000,1981600,623400,23352500,0.8,-0.52,-0.13,2.57,-30.13,2511.02,3.85,-94.6,0.8,1.12,0.69,2.76,477.92,385.73,250.98,42.85
2016-12-27,27.59,771.4,791.55,43.91,29.32,771.4,791.55,43.91,0.0,0.0,0.0,0.0,29.45,774.65,797.86,44.45,29.12,761.2,787.66,42.88,29.13,763.4,790.68,42.98,0.0,0.0,0.0,0.0,73187600,2638700,789100,29578500,0.64,1.05,0.11,2.16,-31.3,2531.42,2.61,-94.45,1.12,1.77,1.3,3.65,480.95,391.21,251.51,44.09
2016-12-28,27.48,772.13,785.05,43.95,29.19,772.13,785.05,43.95,0.0,0.0,0.0,0.0,29.5,780.0,794.23,44.76,29.05,770.5,783.2,43.44,29.38,776.25,793.7,44.31,0.0,0.0,0.0,0.0,83623600,3301000,1153800,18912500,-0.65,-0.53,-1.09,-0.81,-33.52,2545.19,1.67,-94.4,1.57,1.23,1.41,3.04,478.9,391.58,249.44,44.14
2016-12-29,27.47,765.15,782.79,42.94,29.18,765.15,782.79,42.94,0.0,0.0,0.0,0.0,29.28,773.4,785.93,43.84,29.1,760.85,778.92,42.82,29.11,772.4,783.33,43.71,0.0,0.0,0.0,0.0,60158000,3158300,744300,20225000,0.24,-0.94,-0.07,-1.78,-33.6,2521.95,2.31,-94.52,0.61,1.65,0.9,2.37,478.78,388.04,248.72,43.12
2016-12-30,27.25,749.87,771.82,42.74,28.95,749.87,771.82,42.74,0.0,0.0,0.0,0.0,29.3,767.4,782.78,43.5,28.86,748.28,770.41,42.34,29.16,766.47,782.75,43.26,0.0,0.0,0.0,0.0,122345200,4139400,1770000,23213000,-0.71,-2.17,-1.4,-1.21,-32.56,2489.78,2.93,-94.46,1.53,2.56,1.61,2.75,475.05,380.3,245.24,42.92
2017-01-03,27.33,753.67,786.14,43.4,29.04,753.67,786.14,43.4,0.0,0.0,0.0,0.0,29.08,758.76,789.63,44.07,28.69,747.7,775.8,42.19,28.95,757.92,778.81,42.97,0.0,0.0,0.0,0.0,115127600,3521100,1657300,29616500,0.3,-0.56,0.94,0.99,-32.06,2495.51,4.31,-94.48,1.37,1.48,1.78,4.44,476.4,382.22,249.79,43.58
2017-01-04,27.3,757.18,786.9,45.4,29.0,757.18,786.9,45.4,0.0,0.0,0.0,0.0,29.13,759.68,791.34,45.6,28.94,754.2,783.16,42.86,28.96,758.39,788.36,42.95,0.0,0.0,0.0,0.0,84472400,2510500,1073000,56067500,0.15,-0.16,-0.19,5.7,-33.17,2510.52,3.93,-94.23,0.66,0.73,1.04,6.39,475.87,384.0,250.03,45.59
2017-01-05,27.44,780.45,794.02,45.35,29.15,780.45,794.02,45.35,0.0,0.0,0.0,0.0,29.22,782.4,794.48,45.5,28.95,760.26,785.02,44.39,28.98,761.55,786.08,45.28,0.0,0.0,0.0,0.0,88774400,5830100,1335200,29558500,0.6,2.48,1.01,0.15,-35.78,2577.13,1.74,-94.29,0.91,2.91,1.21,2.49,478.29,395.8,252.29,45.54
2017-01-06,27.75,795.99,806.15,45.8,29.48,795.99,806.15,45.8,0.0,0.0,0.0,0.0,29.54,799.44,807.9,46.06,29.12,778.48,792.2,45.09,29.19,782.36,795.26,45.39,0.0,0.0,0.0,0.0,127007600,5986200,1640200,27639500,0.97,1.74,1.37,0.92,-35.0,2600.33,1.28,-94.32,1.45,2.69,1.98,2.16,483.62,403.68,256.14,46.0
2017-01-09,28.0,796.92,806.65,46.26,29.75,796.92,806.65,46.26,0.0,0.0,0.0,0.0,29.86,801.77,809.97,46.38,29.49,791.77,802.83,45.6,29.49,798.0,806.4,45.79,0.0,0.0,0.0,0.0,134247600,3446100,1274600,19897500,0.88,-0.14,0.03,1.01,-35.05,2578.95,1.22,-94.27,1.26,1.26,0.89,1.72,488.05,404.16,256.3,46.45
2017-01-10,28.03,795.9,804.79,45.97,29.78,795.9,804.79,45.97,0.0,0.0,0.0,0.0,29.84,798.0,809.13,46.4,29.58,789.54,803.51,45.38,29.69,796.6,807.86,46.4,0.0,0.0,0.0,0.0,97848400,2558400,1176800,18300000,0.29,-0.09,-0.38,-0.92,-35.62,2572.82,1.12,-94.29,0.91,1.07,0.7,2.25,488.54,403.64,255.71,46.17
2017-01-11,28.18,799.02,807.91,45.95,29.94,799.02,807.91,45.95,0.0,0.0,0.0,0.0,29.98,799.5,808.15,46.0,29.65,789.51,801.37,45.34,29.68,793.66,805.0,45.81,0.0,0.0,0.0,0.0,110354400,2992800,1065900,18254000,0.85,0.68,0.36,0.29,-34.88,2568.96,1.11,-94.31,1.12,1.27,0.85,1.46,491.17,405.22,256.7,46.14
2017-01-12,28.06,813.64,806.36,45.92,29.81,813.64,806.36,45.92,0.0,0.0,0.0,0.0,29.83,814.13,807.39,46.14,29.55,799.5,799.17,45.12,29.73,800.31,807.14,45.81,0.0,0.0,0.0,0.0,108344800,4873900,1353100,18951000,0.29,1.67,-0.1,0.23,-35.11,2629.19,-0.89,-94.31,0.92,1.83,1.03,2.27,489.12,412.64,256.21,46.11
2017-01-13,28.01,817.14,807.88,47.55,29.76,817.14,807.88,47.55,0.0,0.0,0.0,0.0,29.91,821.65,811.22,47.57,29.7,811.4,806.69,45.92,29.78,814.32,807.48,46.0,0.0,0.0,0.0,0.0,104447600,3791900,1099200,30465000,-0.06,0.35,0.05,3.37,-35.19,2645.77,-1.13,-94.11,0.68,1.26,0.56,3.6,488.25,414.41,256.69,47.75
2017-01-17,28.24,809.72,804.61,47.12,30.0,809.72,804.61,47.12,0.0,0.0,0.0,0.0,30.06,816.0,807.14,47.99,29.56,803.44,800.37,46.87,29.58,815.7,807.08,47.34,0.0,0.0,0.0,0.0,137759200,3670500,1362100,23087500,1.4,-0.73,-0.31,-0.47,-36.91,2599.07,-0.63,-94.14,1.71,1.56,0.85,2.39,492.19,410.65,255.66,47.32
2017-01-18,28.24,807.48,806.07,47.67,30.0,807.48,806.07,47.67,0.0,0.0,0.0,0.0,30.12,811.73,806.21,47.94,29.93,804.27,800.99,47.12,30.0,809.5,805.81,47.33,0.0,0.0,0.0,0.0,94852000,2354200,1294400,18845000,-0.01,-0.25,0.03,0.72,-36.33,2591.82,-0.17,-94.09,0.66,0.93,0.65,1.75,492.15,409.51,256.12,47.88
2017-01-19,28.19,809.04,802.17,48.75,29.94,809.04,802.17,48.75,0.0,0.0,0.0,0.0,30.02,813.51,809.48,49.74,29.84,807.32,801.8,48.15,29.85,810.0,805.12,49.45,0.0,0.0,0.0,0.0,102389200,2540800,919300,38661500,0.32,-0.12,-0.37,-1.41,-37.19,2601.75,-0.85,-93.92,0.6,0.77,0.96,3.29,491.29,410.3,254.88,48.96
2017-01-20,28.24,808.33,805.02,48.95,30.0,808.33,805.02,48.95,0.0,0.0,0.0,0.0,30.11,816.02,806.91,49.2,29.93,806.26,801.69,48.6,30.11,815.28,806.91,49.09,0.0,0.0,0.0,0.0,130391600,3376200,1670000,21021500,-0.37,-0.85,-0.23,-0.3,-38.46,2594.43,-0.41,-93.92,0.6,1.21,0.65,1.23,492.19,409.94,255.79,49.15
2017-01-23,28.26,817.88,819.31,49.78,30.02,817.88,819.31,49.78,0.0,0.0,0.0,0.0,30.2,818.5,820.87,50.18,29.94,805.08,803.74,49.1,30.0,806.8,807.25,49.17,0.0,0.0,0.0,0.0,88200800,2797500,1963600,31314500,0.07,1.37,1.49,1.25,-38.67,2624.45,0.17,-93.92,0.87,1.67,2.13,2.2,492.52,414.79,260.33,50.0
2017-01-24,28.23,822.44,823.87,50.92,29.99,822.44,823.87,50.92,0.0,0.0,0.0,0.0,30.02,823.99,825.9,50.96,29.88,814.5,817.82,49.93,29.89,822.0,822.3,50.0,0.0,0.0,0.0,0.0,92844000,2971700,1474000,24827500,0.35,0.05,0.19,1.84,-39.75,2642.15,0.17,-93.82,0.5,1.17,0.99,2.06,492.07,417.1,261.77,51.14
2017-01-25,28.68,836.52,835.67,50.89,30.47,836.52,835.67,50.89,0.0,0.0,0.0,0.0,30.52,837.42,835.77,51.69,30.07,825.29,825.06,50.36,30.1,825.79,829.62,51.46,0.0,0.0,0.0,0.0,129510400,3922600,1494500,25713000,1.21,1.3,0.73,-1.1,-40.16,2645.39,-0.1,-93.91,1.51,1.47,1.3,2.64,499.9,424.24,265.52,51.11
2017-01-26,28.69,839.15,832.15,50.5,30.49,839.15,832.15,50.5,0.0,0.0,0.0,0.0,30.61,843.84,838.0,51.15,30.4,833.0,827.01,50.15,30.42,835.53,837.81,50.86,0.0,0.0,0.0,0.0,105350400,3586300,2973900,15760500,0.22,0.43,-0.68,-0.7,-40.1,2652.67,-0.83,-93.93,0.69,1.3,1.33,1.99,500.15,425.57,264.41,50.72
