,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA
,Adj Close,Adj Close,Adj Close,Adj Close,Change %,Change %,Change %,Change %,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,HL %,HL %,HL %,HL %,HPR,HPR,HPR,HPR,High,High,High,High,Low,Low,Low,Low,Mkt Cap ($B),Mkt Cap ($B),Mkt Cap ($B),Mkt Cap ($B),Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-04,25.65,755.05,762.02,38.11,0.29,-1.01,1.51,0.83,27.21,755.05,762.02,38.11,0.0,0.0,0.0,0.0,1.98,1.7,2.64,4.03,-27.41,2674.9,0.92,-95.0,27.56,766.0,770.36,38.69,27.03,753.23,750.56,37.19,449.79,382.39,242.12,38.27,27.13,762.79,750.66,37.8,0.0,0.0,0.0,0.0,123348000,5122100,2134800,25730000
2016-11-07,26.02,784.93,782.52,38.64,0.3,1.72,1.04,-0.2,27.6,784.93,782.52,38.64,0.0,0.0,0.0,0.0,0.96,2.18,1.64,2.23,-27.58,2743.69,-0.31,-95.06,27.63,787.73,785.19,38.86,27.36,770.94,772.55,38.01,456.27,397.52,248.64,38.81,27.52,771.64,774.5,38.72,0.0,0.0,0.0,0.0,130240000,5984400,1585100,19350500
2016-11-08,26.17,787.75,790.51,38.99,0.68,0.35,0.91,0.59,27.76,787.75,790.51,38.99,0.0,0.0,0.0,0.0,1.84,1.62,1.98,3.26,-28.15,2737.21,0.35,-95.07,27.93,791.74,795.63,39.5,27.42,779.1,780.19,38.25,458.96,398.95,251.18,39.15,27.58,784.97,783.4,38.76,0.0,0.0,0.0,0.0,97016800,3412600,1366900,16338000
2016-11-09,26.13,771.88,785.31,38.01,0.91,1.03,0.69,1.7,27.72,771.88,785.31,38.01,0.0,0.0,0.0,0.0,3.03,2.29,2.53,4.38,-28.9,2684.56,1.74,-95.16,27.83,777.5,791.23,38.4,27.01,760.09,771.67,36.79,458.22,390.91,249.52,38.17,27.47,764.0,779.94,37.38,0.0,0.0,0.0,0.0,236705600,8562900,2607100,40865500
2016-11-10,25.4,742.38,762.56,37.07,-2.97,-4.68,-3.62,-2.98,26.95,742.38,762.56,37.07,0.0,0.0,0.0,0.0,4.97,8.52,5.18,6.2,-29.11,2654.91,2.72,-95.14,27.77,778.83,791.17,38.32,26.46,717.7,752.18,36.08,445.45,375.97,242.29,37.23,27.77,778.81,791.17,38.21,0.0,0.0,0.0,0.0,228538000,12747000,4745200,33751500
2016-11-11,25.55,739.01,754.02,37.71,1.22,0.45,-0.33,2.34,27.11,739.01,754.02,37.71,0.0,0.0,0.0,0.0,2.18,1.97,1.39,3.21,-26.87,2626.22,2.03,-95.0,27.22,743.26,760.78,37.78,26.64,728.9,750.38,36.6,448.09,374.26,239.58,37.87,26.78,735.73,756.54,36.85,0.0,0.0,0.0,0.0,136575600,6622800,2431800,19942500
2016-11-14,24.91,719.07,736.08,36.29,-1.86,-3.55,-2.58,-3.48,26.43,719.07,736.08,36.29,0.0,0.0,0.0,0.0,3.58,5.06,4.17,5.65,-29.92,2620.92,2.37,-95.07,26.95,746.0,757.85,37.65,26.02,710.1,727.54,35.64,436.85,364.17,233.88,36.44,26.93,745.51,755.6,37.6,0.0,0.0,0.0,0.0,204702000,7321300,3654400,32761000
2016-11-15,25.24,743.24,758.49,36.75,0.51,1.81,1.54,0.54,26.78,743.24,758.49,36.75,0.0,0.0,0.0,0.0,1.43,2.86,2.34,2.41,-26.21,2675.61,2.05,-95.15,26.92,746.78,764.42,37.29,26.54,725.99,746.97,36.41,442.64,376.41,241.0,36.91,26.64,730.0,746.97,36.56,0.0,0.0,0.0,0.0,129058000,6755800,2384000,19510000
